date,Avg_Passengers,Avg_Distance,Avg_Fare,Avg_Extra,Avg_MTA_tax,Avg_Tip,Avg_Tolls,Avg_Surcharge,Avg_Total,Avg_Duration,Total_Trips,maximum temperature,minimum temperature,average temperature,precipitation,Rain,Snow_fall,Snow_depth,Day_of_Week,Day_of_Month,Week,Month,Weekday,Has_Snow,Has_Rain
2016-01-30,1.391470335339639,3.2209977644024077,13.3551456577816,0.25030094582975065,0.49664660361134993,2.91549475494411,0.12580705073086845,0.2977864144453998,17.44118142734308,0.347687532244196,29074.999999999996,39,28,33.5,0,0,0,6,7,1,5,1,FALSE,TRUE,FALSE
2016-02-01,1.3415891449902233,3.1998216507673165,13.373419446584109,0.3990341885406174,0.49632636132013985,2.9239799727439713,0.16977543402263437,0.2972856550334775,17.659821058244948,0.31713508851625816,16877,59,44,51.5,0.01,0.01,0,2,2,2,5,2,TRUE,TRUE,TRUE
2016-02-04,1.341554054054054,3.139774131274131,13.329333011583012,0.41684362934362934,0.4961148648648649,2.91449083011583,0.16447007722007723,0.2973301158301158,17.61858252895753,0.35842536733161734,20720,59,44,51.5,0.01,0.01,0,0,5,2,5,2,TRUE,FALSE,TRUE
2016-02-05,1.3372557172557173,3.0359758835758837,12.678028274428275,0.4507484407484407,0.4969022869022869,2.8033742203742205,0.14516424116424118,0.29788648648648647,16.87210395010395,0.29765939015939014,24049.999999999996,44,31,37.5,3.0300000000000002,0.53,2.5,1,6,2,6,2,TRUE,TRUE,TRUE
2016-02-06,1.3801684268654655,3.270459722509836,13.271060260923587,0.25101815420722023,0.4966004003589425,2.872382135707876,0.13841961758818253,0.2977911230758611,17.327271691861668,0.33349983318377396,28973.999999999996,40,30,35,0,0,0,0,7,2,6,2,FALSE,FALSE,FALSE
2016-02-07,1.3926915945611866,3.4326077719406674,13.385132107540173,0.2513133498145859,0.4969290791100124,2.8861418417799753,0.1324405129789864,0.2978040018541409,17.449760893077872,0.3545463363548963,25888,47,33,40,0,0,0,0,1,2,6,2,FALSE,FALSE,FALSE
2016-02-08,1.3331071913161465,3.141663274536409,12.672265377657169,0.4009780642243329,0.4956467661691542,2.8177464947987336,0.1755721393034826,0.29739258254183626,16.85960142469471,0.28612037665209306,17688,39,28,33.5,0.15000000000000002,0.05,0.1,0,2,2,6,2,TRUE,TRUE,TRUE
2016-02-09,1.336692859583191,3.0686362601070494,12.880152032798087,0.40895114451656983,0.496498120942945,2.863853205785218,0.1432798086778271,0.2978100444140758,17.09054435713472,0.31928489858153336,17562,36,27,31.5,0.01,0,0.01,0.01,3,2,6,2,TRUE,TRUE,FALSE
2016-02-10,1.3546742787236212,3.029626873279641,12.760504638597206,0.42037924355184014,0.4962789275155469,2.8018274034050363,0.14917830563767967,0.2975379753287797,16.92570649403609,0.33558701759155424,19618,39,31,35,0.02,0.01,0.01,0,4,2,6,2,TRUE,TRUE,TRUE
2016-02-13,1.3863518422418266,3.1748271276595745,12.853388362740011,0.23006940840685006,0.4965133627400104,2.818942656979761,0.1357981966787753,0.29789017903476905,16.832602166580177,0.33609986738165254,30832.000000000004,22,6,14,0,0,0,0,7,2,7,2,FALSE,FALSE,FALSE
